권역,시군,읍면동,주용도,용도지역,건물유형,건축년도,규모,건폐율(%),거래유형,매도자,매수자,대지(평),연면적(평),거래금액(만원),대지평단가(만원),연면적평단가(만원),거래월,신규
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,직거래,개인,법인,0,54.0,41000,0,759.0,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,1998,소형(~500평),0,중개거래,개인,법인,0,41.5,38500,0,926.6,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,,소형(~500평),0,중개거래,개인,법인,0,37.1,30000,0,808.7,2026-04,
남부,성남시,상대원동,공장,일반공업,집합,2021,소형(~500평),0,중개거래,개인,개인,0,6.5,11000,0,1689.0,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,22.0,19800,0,901.7,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,60.3,67087,0,1111.7,2025-10,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,66.0,135000,0,2045.8,2025-10,
남부,성남시,상대원동,공장,제2종일반주거,집합,,소형(~500평),0,중개거래,개인,개인,0,42.0,33000,0,786.2,2025-10,
남부,성남시,상대원동,공장,개발제한구역,집합,2006,소형(~500평),0,직거래,개인,법인,0,25.9,25400,0,982.1,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,법인,0,24.6,22400,0,909.6,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,법인,0,23.6,22100,0,936.6,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,직거래,법인,법인,0,45.7,65900,0,1442.3,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,직거래,법인,법인,0,58.8,82800,0,1408.0,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2002,소형(~500평),0,중개거래,개인,개인,0,39.5,36800,0,932.6,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,26.1,45540,0,1742.4,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,30.9,53820,0,1742.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,29.2,50940,0,1743.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,35.5,30000,0,846.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,26.9,46800,0,1742.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,25.5,44390,0,1742.0,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,25.9,45160,0,1742.4,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,19.1,33350,0,1742.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,직거래,법인,개인,0,183.1,130000,0,710.1,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,직거래,개인,개인,0,28.7,25682,0,894.4,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,직거래,개인,개인,0,27.2,24318,0,894.4,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2001,소형(~500평),0,중개거래,개인,개인,0,47.5,35000,0,737.5,2025-11,
남부,성남시,상대원동,공장,제2종일반주거,집합,,소형(~500평),0,중개거래,개인,법인,0,31.8,31928,0,1002.7,2025-11,
남부,성남시,상대원동,공장,제2종일반주거,집합,,소형(~500평),0,중개거래,개인,법인,0,63.9,64072,0,1002.7,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,직거래,개인,법인,0,32.5,39000,0,1201.2,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,21.3,28000,0,1313.5,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,법인,법인,0,91.7,94000,0,1024.6,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,직거래,법인,법인,0,11.8,12500,0,1056.0,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,1998,소형(~500평),0,중개거래,법인,법인,0,40.9,32600,0,797.5,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,27.9,40500,0,1453.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,개인,0,13.3,14000,0,1056.2,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,개인,0,27.0,25000,0,926.5,2025-11,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,40.7,41600,0,1023.2,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,40.7,41800,0,1028.1,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2021,소형(~500평),0,중개거래,개인,개인,0,6.5,10900,0,1673.6,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,1998,소형(~500평),0,중개거래,법인,법인,0,61.7,70000,0,1133.9,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,30.5,54347,0,1782.3,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,개인,법인,0,17.2,30653,0,1782.4,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,직거래,법인,법인,0,30.1,36000,0,1194.5,2025-12,
남부,성남시,상대원동,공장,일반공업,일반,2019,중형(500~2천평),174.4,중개거래,법인,법인,1249.5,2178.8,3150000,2521.0,1445.8,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,24.9,43500,0,1749.0,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,중개거래,개인,개인,0,49.6,39500,0,795.6,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2006,소형(~500평),0,직거래,개인,개인,0,22.9,12000,0,524.7,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,24.0,19465,0,812.5,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,11.4,18000,0,1580.9,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,법인,0,38.7,32000,0,826.4,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,개인,0,23.6,19500,0,826.4,2025-12,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,6.9,15130,0,2190.8,2026-01,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,21.3,26073,0,1223.1,2026-01,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,26.7,32699,0,1223.1,2026-01,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,37.5,45885,0,1223.1,2026-01,
